[-0.05662513  1.5929725   1.0879031  -0.04407122  1.390217  ],[-0.3272665  -0.33505347  0.5005401   0.85603    -0.4191723 ],[ 0.8863142   0.32750028 -0.34724817 -0.1189872  -0.04714907],[ 1.0224291   0.20122768 -0.26819444 -0.14475696  0.04616365],[ 1.0994346   0.10177901 -0.34647292 -0.29582065 -0.1517424 ],[-0.07929244  0.20011243  1.2678411  -0.00165409  0.36365196],[ 0.4770974   1.4214853   0.4049916  -0.1375592   0.95199674],[ 0.97084767  0.01467942 -0.24999577 -0.13206673 -0.15958393],[-0.13343896 -0.09057134  0.61118484  1.2382464   1.3747818 ],[-0.16902071 -0.01973105  1.0610089  -0.04209602 -0.00911896],[ 1.02633    -0.09078812 -0.318536   -0.25383484 -0.36388966],[-0.11079403  0.1015932   0.5319912   1.0715843   1.4115708 ],[ 0.6707451  -0.01923483 -0.04262794  0.12566786  0.28810063],[-0.04665094  1.1281366  -0.01008624 -0.26922512  0.80263233],[ 1.1765517  -0.01666722 -0.31813353 -0.3441785  -0.24953878],[-0.10217377  0.49403408  0.9506996  -0.01371289 -0.01794242],[-0.55037194 -0.66192794  1.6340867   2.321715   -0.01225315],[-0.06041726 -0.03208189  0.61696035  0.93211794  1.0821828 ],[ 1.2527586   0.26226574 -0.37556475 -0.3270269  -0.23438449],[ 1.0548066   0.27328822 -0.28604576 -0.15778491  0.09929522],[-0.02900878 -0.00448066  0.6214706   0.7576593   1.0425773 ],[-0.463919   -0.26212633  0.80113566  1.354364   -0.49342972],[ 0.06555952  1.0990556   0.33561403 -0.2196736   0.93145424],[ 0.9708255   0.14198364 -0.26214826 -0.10414504  0.06435281],[ 1.1114062  -0.19178805 -0.31557348 -0.36042956 -0.4422643 ],[-0.00843647  2.2377605   0.6061025  -0.03023182  1.9305214 ],[-0.2450545  -0.10923499  0.5494434   0.551461   -0.13369907],[-0.33969182 -0.6208541   1.5228626   2.129799   -0.01085823],[-0.4407678  -0.04186193  0.5188152   1.0349566  -0.19427179],[ 0.86661375  0.38773507 -0.26503614 -0.0961449  -0.00557585]
[ 0.93054545  0.30769888 -0.32758307 -0.19517149 -0.16277492],[ 0.7991704   1.1139569  -0.2357554  -0.12003081  0.39034194],[ 0.95742273 -0.09376791 -0.27535766 -0.31213287 -0.3450345 ],[-0.21604499  1.7665625   1.0462745  -0.126556    2.0474882 ],[-0.20820077 -0.496071    1.3266612   1.6569072   0.65888584],[-0.15730594 -0.13658537  0.5925201   1.271332    1.2444987 ],[ 0.71333396  0.52258575 -0.29276228 -0.13705161 -0.01330798],[-0.46451017 -0.23044974  1.1329274   1.7038218  -0.44570142],[-0.5422039  -0.6369752   1.5529869   2.3708282  -0.21370152],[ 0.7733777   0.34720278 -0.19631419 -0.16495621 -0.096641  ],[-0.25513527  0.93198204  1.2038599  -0.10219172  1.4965457 ],[ 0.39718524 -0.04027726 -0.02325657 -0.02500866  0.06604774],[0.06741855 0.23759964 0.3323491  0.3638723  0.6319142 ],[ 0.70337915  1.0863526  -0.21180332 -0.05236362  0.1632083 ],[ 0.74585766  1.0684078  -0.22906232 -0.09685281  0.47985223],[-0.05207162 -0.04825147  0.4869744   0.5925704   1.0537101 ],[-0.23019615 -0.26364994  0.7954751   1.4619077   1.0556785 ],[ 0.95741415 -0.0452811  -0.23344202 -0.30445707 -0.36098912],[-0.22004089 -0.11753529  0.95781     0.2311739  -0.06871492],[ 0.9817537  -0.12129649 -0.28035936 -0.2975533  -0.41382995],[-0.17239219  0.1402501   0.9409656   0.2639611   0.08118601],[-0.5161326 -0.5681118  1.2441889  2.1241376 -0.3654326],[ 0.95069677  0.8565878  -0.23844814 -0.17593701  0.25994426],[-0.11020946  0.8247382   1.3300265  -0.03500211  1.4863411 ],[-0.15568349  0.26546353  1.0749531   0.03513217 -0.00404878],[ 0.9413787   0.26191434 -0.19588563 -0.11571227 -0.01399108],[ 1.1173338  -0.03455135 -0.27895844 -0.27650648 -0.26572883],[ 0.14210875  1.2070494   0.03953475 -0.14297664  0.9945838 ],[ 1.0297457   0.26706097 -0.27672952 -0.20973867 -0.04169158],[ 1.0153996   0.1413119  -0.21207197 -0.10916641 -0.19638844]
[0.3915209  0.8831907  0.27734262 0.3486605  1.1397601 ],[-0.12056556  2.6740303   0.61721975 -0.18871093  3.1790009 ],[ 0.6725549   0.44948983 -0.19742884 -0.17788853 -0.04762155],[ 0.96439856 -0.04885724 -0.29317304 -0.3874828  -0.2918559 ],[-0.42894652 -0.3508575   0.8785976   1.4709952  -0.21087216],[-0.0370242  -0.30352852  0.9053821   0.99148166  0.8867945 ],[-0.29481897 -0.36353987  1.1858705   1.4486645   0.88326216],[-0.02479382  1.411313    1.265729   -0.19182992  1.1950957 ],[ 0.75027823  0.60343665 -0.22014888 -0.1622152  -0.01466793],[ 0.9877239  -0.06326048 -0.32512963 -0.3356391  -0.3808172 ],[ 0.5932212   0.81147605 -0.19778438 -0.07323956  0.27406517],[ 0.88244104 -0.17731765 -0.23200476 -0.23089798 -0.4379586 ],[-0.40611413 -0.10921377  0.85131013  1.001161   -0.23553826],[-0.0243703  -0.43155774  1.4641623   1.384538    0.30643764],[ 0.93770105  0.99239737 -0.25356704 -0.13634314  0.39738408],[-0.3682629  -0.03647909  0.62437934  0.8151446  -0.31080028],[-0.29947737  0.35520482  0.6643195   0.3223248  -0.06999628],[ 1.0055856   0.70024496 -0.3149931  -0.23485817  0.02189612],[ 0.9601907   0.71454996 -0.29895306 -0.20674011  0.13326906],[ 0.6639868   0.5382189  -0.22920832 -0.29476765 -0.05204342],"[-4.1298789e-01 -3.2205743e-01  1.1734475e+00  1.7547145e+00
 -5.4970116e-04]",[-0.4086031  -0.23596217  0.7833446   1.1810029  -0.27963558],[ 0.01861012 -0.14399238  0.7168097   0.9340429   1.2825238 ],[ 0.73198795  0.6481983  -0.21051902 -0.12821022 -0.01291035],[ 1.0144749   0.4849548  -0.29440632 -0.21279214 -0.04092728],[-0.38737005 -0.2780947   1.2694525   1.7245228   1.0123689 ],[ 0.00311394 -0.23841518  1.4410949  -0.03503313 -0.18047534],[ 1.0323858   0.17496577 -0.26919535 -0.25101605 -0.18370855],[ 0.5990447   1.0120587  -0.19290474 -0.0484052   0.255758  ],"[ 6.9150513e-01 -2.6766179e-04  5.3341370e-02 -6.6547072e-03
  1.7466812e-01]"
[ 0.68268025 -0.01456291  0.16435985  0.26394677  0.26179442],[ 0.6153523   0.377488   -0.23151311 -0.21285854 -0.14170113],[ 0.48965216  0.7492396  -0.23652074 -0.08350889 -0.10001727],[ 0.35219073  0.14290911 -0.19814135 -0.18579572 -0.3547896 ],[-0.3403551   0.55556744  1.7885114  -0.22135383  2.5203373 ],[ 0.17480867 -0.08056077  0.5348657   0.5087492  -0.00968817],[ 0.5126696   1.0266275  -0.18785915 -0.08612386  0.5141057 ],[-0.6066801  -0.6777615   1.730646    2.710538   -0.09152857],[ 0.6103222  -0.04424936 -0.0412848  -0.02376083 -0.1878447 ],[ 0.3684373   0.4264992  -0.15396014 -0.03959475  0.3130417 ]
[-0.23625155  1.3132551   1.145817   -0.17639938  1.6746656 ],[ 0.895772    0.07115814 -0.19357282 -0.16553515 -0.07400507],[-0.11154363 -0.5123048   1.3190882   1.6890204  -0.13031907],[-0.3629379  -0.11903267  0.403208    0.93261683 -0.34222513],[ 0.9820321   0.273179   -0.2702933  -0.12953292 -0.01320961],[-0.17218724  0.90968287  0.16564682 -0.3406695   1.2659456 ],[ 0.8910559   0.89571905 -0.25702527 -0.09650153  0.40412527],[-0.18526584 -0.1771977   0.9172532   0.17949872 -0.20909356],[-0.1709431   1.2214786   1.3088918  -0.08575117  1.7489556 ],[-0.1484334  -0.03539138  0.8702057   0.16921203 -0.08501627],[-0.17991617  2.0715587   0.37282124 -0.1732215   2.6648686 ],[-0.40174702 -0.5188633   1.3880463   2.0858366  -0.1111669 ],[-0.21246362  0.04513083  1.102852   -0.06069097  0.13952766],[ 0.9334232  -0.0096361  -0.33132067 -0.25496694 -0.20277424],[0.17075571 0.531408   0.25958437 0.6379622  0.6530489 ],[ 0.92757046  0.24497363 -0.19967033 -0.14327858 -0.03288239],[ 0.01923471 -0.05912231  0.5841992   0.966179    0.32637978],[-0.08081014 -0.29298598  0.90381366  0.2840252  -0.30996734],[ 1.1154385  -0.07790911 -0.27979282 -0.27305454 -0.26481068],[ 0.00181773  0.93707055  0.07921743 -0.19396213  0.9442671 ],[-0.08974232 -0.22470382  0.7670539   1.5394142   0.24739546],[ 1.1080526   0.6184762  -0.24458586 -0.15451664  0.36785454],[-0.521558   -0.48972285  1.5903364   2.4543412  -0.14452522],[ 1.0298303   0.17806076 -0.2907758  -0.12215672  0.01078814],[ 1.1212689   0.0611334  -0.2644987  -0.13886909 -0.00716173],[ 0.81328446  0.89828634 -0.21727979 -0.02360346  0.39856294],[ 0.905305    0.8267131  -0.2408886  -0.07294759  0.41505182],[-0.40073806 -0.2941966   0.5891942   1.533888   -0.59876466],[ 1.0409907   0.25753528 -0.34305298 -0.17844932 -0.07710781],[ 1.2504168  -0.01242264 -0.28380826 -0.25635058 -0.1473088 ]
[ 0.8731997  -0.05940804 -0.32612428 -0.33590853 -0.295008  ],[-0.06853116 -0.5703786   1.4811232   1.8295667  -0.16002758],[-0.11229909  0.5615683   1.5897485  -0.06019351  1.3543214 ],[-0.01303269 -0.01209137  0.4173618   1.0182818   0.6927145 ],[0.4126995  0.110324   0.35906723 0.4392112  0.27802402],[ 1.0064176   0.4839339  -0.29841542 -0.19967271  0.05915836],[-0.0692003  -0.31758544  0.809487    1.4777578   0.18085787],[-0.19020267  1.873477    0.9244845  -0.08722164  2.67408   ],[ 0.74827     0.5424747  -0.21767022 -0.13745409  0.07107167],[-0.4440788  -0.44282776  0.75251234  1.8041171  -0.38763112],[ 0.98931414  0.38381976 -0.2794458  -0.17439726  0.20822312],[ 0.5383611   1.0335664  -0.17528906  0.0236072   0.39088604],[ 0.8885694   0.21161008 -0.25126013 -0.26969984 -0.1533204 ],[ 0.7967326   0.7305084  -0.14246882 -0.01081431  0.5925749 ],[ 0.7733386   1.164629   -0.30346784 -0.13924909  0.618342  ],[ 0.9973808   0.18595932 -0.26462883 -0.2498781  -0.10117254],[ 0.8825181   0.06010583 -0.27360004 -0.26126313 -0.15616246],[-0.42239738 -0.3957961   0.6841409   1.6408113  -0.4300267 ],"[-2.4324074e-01  3.5226211e-04  5.6658357e-01  4.4696730e-01
 -4.8578471e-02]",[ 0.90722305  0.43984836 -0.1975727  -0.0724723   0.26418662],[ 0.93047905  0.49170858 -0.21720234 -0.06391577 -0.04766685],[-0.37186176  1.0798582   0.5675538  -0.36986855  1.6464775 ],[ 0.9026537  -0.02766668 -0.03051084  0.06416499  0.00559754],[-0.10365899 -0.01261809  1.2139136  -0.03732721 -0.03234254],[-0.11436994  0.20156035  1.4820397  -0.01880007  0.7749452 ],[-0.24466707  0.6125512   1.3230189  -0.15244544  1.3045285 ],[ 0.8262047  -0.17150581 -0.21078509 -0.21342437 -0.32848287],[-0.4641269  -0.51009744  1.0420551   2.032574   -0.2783368 ],[-0.41698706 -0.26817542  0.7055946   1.4691775  -0.4112489 ],[ 0.7786035   1.0531579  -0.26072064 -0.1139625   0.5252095 ]
[ 0.85919756  0.5943486  -0.22672072 -0.1202587   0.30849272],[ 0.54363847 -0.14029515  0.26332015  0.12879309 -0.01585931],[-0.47462955 -0.1912963   0.860391    1.4030648  -0.39108616],[ 0.58695084  0.9424707  -0.2329759  -0.04228435  0.38703522],[ 0.83393437  0.41840503 -0.20431016 -0.08814401 -0.09820629],[ 0.86491686 -0.06231345 -0.23399863 -0.3587754  -0.27528816],[-0.20258713  1.209242    1.5917333  -0.08984245  1.6782    ],[ 0.3822138  -0.11014467  0.3748444   0.24477166  0.07795499],[-0.48299617 -0.04853423  0.69910616  1.0995643  -0.06118918],[ 0.5221179   0.82233864 -0.12764859  0.10811159  0.30102167],[ 0.7071398   0.8120374  -0.25574276 -0.07037546  0.2139514 ],[ 0.06714283 -0.2348846   0.6535674   0.8454023   0.20251182],[-0.5074339 -0.7787417  1.6452682  2.5278585 -0.2345102],[ 0.9203086  -0.03440215 -0.29559845 -0.3462291  -0.28131422],[ 0.81696814  0.9103336  -0.2823202  -0.1952198   0.17063086],[ 0.5680503   0.6649401  -0.18557787 -0.25315166 -0.0031447 ],[-0.07005989 -0.3232741   0.6514186   1.3410686   0.3922238 ],[ 0.9670024   0.41611645 -0.2871664  -0.35159507 -0.13376796],[-0.21819153  0.5053984   1.4975541  -0.01132899  0.95266134],[-0.06723508 -0.4188728   0.7311232   1.4925526   0.1744616 ],[-0.15930004  1.141223    1.3515164  -0.14226568  2.558144  ],[-0.315228   -0.25457552  0.7805654   0.9108972  -0.30141813],[ 0.7481148   0.20259584 -0.14911133 -0.0176141  -0.06456132],[-0.43832996 -0.3476246   1.0907238   1.7149343  -0.4483885 ],[ 0.8534213   0.7409159  -0.2891148  -0.22337724 -0.01400443],[ 0.6631876   0.72100955 -0.15119813 -0.04080677  0.05661397],[ 0.83596057  0.18027519 -0.2908879  -0.24818158 -0.24087381],[-0.24095587  0.9532801   1.3432076  -0.23857176  2.5951955 ],[0.23893344 0.1379417  0.29787043 0.42493147 0.3158794 ],[ 0.8803143   0.5010085  -0.21165356 -0.11351261  0.22409107]
[ 0.6737694   1.363405   -0.35434267 -0.1441686   0.5906591 ],[ 0.6285234 -0.2593399  0.9536226  0.57153    1.3207324],[1.1524311  0.07107577 0.7058292  0.19753027 1.173506  ],[-0.04334173 -0.3256813   0.86071086  0.9646887  -0.29034072],[ 0.7405659  1.0491998 -0.2912704 -0.2045308  0.9815253],[-0.23951405 -0.25984728  0.92721564  1.1149987  -0.09720528],[ 0.5396865   0.7724068  -0.25110012 -0.3620494   0.25637513],[-0.44603962 -0.06122361  0.63681746  0.72405446 -0.4719127 ],[ 0.6484495   1.22605    -0.28414345 -0.3996967  -0.11097339],[-0.35187203 -0.20211528  0.6945721   1.0494739  -0.07124949]
[-0.4417368  -0.44304323  0.9790874   1.9725393  -0.23160286],[-0.14324956  0.10338471  0.74615973  0.07551845 -0.08615448],[ 0.5060101  -0.07179999  0.4392704   0.65605026 -0.06428842],[ 1.173221    0.09199816 -0.303003   -0.22915137 -0.03774199],[ 0.8404253   0.7751854  -0.25278643 -0.00649249  0.61805457],[ 1.0828629   0.23768665 -0.22550203 -0.05520173  0.38521302],[-0.14760314  0.8526921   1.623636   -0.09527817  1.2822348 ],[ 0.91270685 -0.03719765 -0.05015139  0.05485988 -0.09232359],[-0.08950414  1.3071976   0.73467195 -0.19638762  1.725487  ],[-0.18217057 -0.4970353   0.9536281   1.7884471  -0.3461525 ],[-0.14417335  0.47796056  1.4082648  -0.03930435  0.61774856],[-0.33406165 -0.15786585  0.04917887  0.6524895  -0.32975966],[ 1.1661654  -0.04555034 -0.41750047 -0.37231648 -0.21849805],[ 1.008486    0.45352677 -0.38012457 -0.18941562  0.21030642],[ 1.2140248   0.15701249 -0.41432312 -0.36003953 -0.09926623],[-0.23814522  1.2708367   0.2028291  -0.32840273  1.6220489 ],[ 0.9459294   0.6562872  -0.27874166 -0.06258593  0.3661709 ],[ 0.56327397  0.26705977 -0.00998348  0.22980095 -0.00405401],[ 1.0053711   0.4956938  -0.19893304 -0.01003164  0.2856096 ],[-0.02404537 -0.32054934  0.61316395  1.3974689  -0.1663646 ],[-0.01621335 -0.49738616  1.0344232   1.4435512  -0.27697545],[-0.4351417  -0.4420433   0.6724208   1.7298846  -0.41016766],[ 0.44440404 -0.08368281  0.51603127  0.6072886  -0.03258538],[-0.3571333  0.9063048  0.6542328 -0.3639578  1.464768 ],[ 0.69667643 -0.00568533  0.3617331   0.37645563 -0.05828059],[ 0.77921766  0.364643   -0.3955003  -0.11244592  0.22275347],[ 0.9268959   0.31223968 -0.2329933  -0.1063088   0.2072645 ],[-0.3736745  -0.2589446   0.47814116  1.3709164  -0.47046265],[-0.27032784  1.5127954   1.1494426  -0.20330597  1.82121   ],[-0.06922306  1.3096817   0.15757772 -0.21785454  1.3754865 ]
[ 0.44265124  0.5834462  -0.11293506 -0.08742509 -0.01452469],[-0.37364557  0.2834696   1.8192737   0.00983942  2.0141056 ],[-0.40495747 -0.08003973  1.0303326   1.043936   -0.17123225],[ 0.6942842   0.66754836 -0.22986941 -0.19853984  0.21106891],[ 0.7557122   0.35081768 -0.1777432  -0.1386572   0.08151361],[-0.33955246 -0.68129724  1.8023208   2.2364943  -0.10839447],[ 0.5742304   0.98769194 -0.19996816 -0.07514318  0.26550338],[-0.0272664  -0.37331375  0.819315    1.5328715   0.05894505],[ 0.7597384  -0.17752458  0.2932245   0.1162326  -0.07082612],[ 0.33439073  0.5188084  -0.13664325 -0.28381717 -0.00655506],[-0.35667023 -0.01980741  1.2124782   0.72040695  0.808651  ],[ 0.31888816  0.6689891  -0.09677906 -0.02377202  0.1968253 ],[ 0.31495225  0.86854327 -0.09016775 -0.00672743  0.30290222],[-0.45628437  0.89199126  2.0454364  -0.06598058  3.5821922 ],[ 0.7743827   0.35883588 -0.13079363 -0.04330938 -0.14551266],[ 0.64879227  0.13782224 -0.25812253 -0.24182186 -0.2883611 ],[ 0.5760826   0.70005584 -0.14049734 -0.06398253  0.4070858 ],[ 0.49534172  0.36531597 -0.24855478 -0.21078824 -0.18125649],[ 0.71106696  0.482524   -0.19427812 -0.19555351  0.02878387],[ 0.7207925   0.4086896  -0.17159386 -0.1655755   0.34987506],[ 0.61281466  0.82038563 -0.12836944 -0.06098806  0.5065141 ],[-0.52283776 -0.575094    1.6635491   2.4891927  -0.38718197],[ 0.623982   -0.05587341 -0.18554404 -0.35002306 -0.25551367],[ 0.73113585  0.5119497  -0.23801528 -0.22411376 -0.02102707],[-0.50563407 -0.44504684  1.3282089   1.976964   -0.49702814],[-0.03732631 -0.29186922  0.73091775  1.3862457   0.3731796 ],[ 0.44035888 -0.14166118  0.3773853   0.25659162 -0.01909217],[ 0.44768828  0.5878842  -0.1212495  -0.13060412  0.06933127],[ 0.69416636  0.29134703 -0.18025903 -0.11090394 -0.18659465],[ 0.60010123  0.99135935 -0.20273843 -0.11651078  0.6401069 ]
