[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[-0.19999999  0.075       0.1525    ],[-0.20004883  0.07501008  0.33999735],[-0.22804764  0.0812878   0.51718557],[-0.26244739  0.08899989  0.73484981],[-0.30554608  0.09789247  0.90861398],[-0.38614914  0.0498007   1.11880064],[-0.39761716  0.12216834  1.19769883]
[-0.19999999  0.075       0.1525    ],[-0.20005378  0.07501224  0.33999711],[-0.23124371  0.08240342  0.51660812],[-0.26956382  0.09148342  0.73356324],[-0.31323463  0.10083735  0.90716028],[-0.3933869   0.05276616  1.11752367],[-0.40756273  0.12602253  1.19515169]
[-0.19999999  0.075       0.1525    ],[-0.20004801  0.07500953  0.33999741],[-0.22810172  0.08123977  0.5171786 ],[-0.26256883  0.08889337  0.73483402],[-0.30596983  0.09756523  0.90853411],[-0.38711718  0.04929319  1.11847019],[-0.38813049  0.11630654  1.2027415 ]
[-0.19999999  0.075       0.1525    ],[-0.20007826  0.07502066  0.33999497],[-0.25428477  0.08835658  0.51058632],[-0.32088137  0.10474093  0.72014886],[-0.38697499  0.11835099  0.88621348],[-0.48778027  0.0728701   1.08810067],[-0.49519208  0.14005566  1.17191458]
[-0.19999999  0.075       0.1525    ],[-0.20009193  0.07501922  0.33999377],[-0.25821871  0.08878124  0.50925326],[-0.32963249  0.10568883  0.71718085],[-0.40374631  0.11700353  0.88000131],[-0.50559312  0.06655242  1.08017671],[-0.52418149  0.13530983  1.16092575]
[-0.19999999  0.075       0.1525    ],[-0.2000417   0.07501264  0.33999765],[-0.23358934  0.08370543  0.51611769],[-0.274804    0.09438442  0.73246723],[-0.29977325  0.10412724  0.90970135],[-0.33172435  0.05098175  1.13138151],[-0.33688232  0.12071776  1.21325827]
[-0.19999999  0.075       0.1525    ],[-0.20000048  0.07500842  0.33999854],[-0.2175214   0.07924167  0.51859081],[-0.23904455  0.08444259  0.73797512],[-0.22099073  0.09270768  0.91612113],[-0.19820306  0.03771009  1.13847935],[-0.18297529  0.10685375  1.21960187]
[-0.19999999  0.075       0.1525    ],[-0.19999923  0.07500994  0.3399986 ],[-0.22093013  0.08264261  0.51811028],[-0.24664174  0.09201966  0.73690397],[-0.22796147  0.10029914  0.91498488],[-0.21075486  0.04560906  1.1379205 ],[-0.19288032  0.11415397  1.21901119]
[-0.19999999  0.075       0.1525    ],[-0.20002837  0.07502134  0.33999777],[-0.23827866  0.09283935  0.51446557],[-0.28526878  0.11472912  0.72878391],[-0.28677139  0.12932527  0.90743071],[-0.29077879  0.08231101  1.13273001],[-0.28805968  0.15424407  1.21280372]
[-0.19999999  0.075       0.1525    ],[-0.2000393   0.07503577  0.33999681],[-0.2589294   0.10253559  0.50731331],[-0.33127481  0.13632047  0.71284604],[-0.32854846  0.15910114  0.8906197 ],[-0.32639217  0.12246477  1.11786032],[-0.32476151  0.19807647  1.19450045]
