[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.] 
[-0.19999999  0.075       0.1525    ],[-0.20020226  0.07495704  0.33996537],[-0.37313375  0.0328918   0.3628816 ],[-0.5856294  -0.01879747  0.39108151],[-0.7509191  -0.06200274  0.44530523],[-0.96814591 -0.13790122  0.452335  ],[-1.03785574 -0.11693819  0.53167105]
[-0.19999999  0.075       0.1525    ],[-0.20020315  0.07495362  0.33996364],[-0.37337881  0.02979515  0.35295784],[-0.58618248 -0.02569726  0.36897141],[-0.75899899 -0.07092829  0.3837533 ],[-0.9720943  -0.14598133  0.33952975],[-1.05607927 -0.14129822  0.4067432 ]
[-0.19999999  0.075       0.1525    ],[-0.20020169  0.07497974  0.33996361],[-0.37756196  0.05003837  0.35085046],[-0.59551096  0.01938888  0.36427483],[-0.77258247 -0.0029922   0.34760123],[-0.98244977 -0.04902325  0.26490897],[-1.07559538 -0.03512841  0.31710225]
[-0.19999999  0.075       0.1525    ],[-0.20018235  0.07497668  0.33996573],[-0.37541613  0.0445815   0.31615818],[-0.59076166  0.00722982  0.28695947],[-0.75317919 -0.01754204  0.2152594 ],[-0.92557371 -0.06387976  0.06988251],[-1.02892661 -0.03960493  0.08783217]
[-0.19999999  0.075       0.1525    ],[-0.20017807  0.07495484  0.33996594],[-0.36981642  0.02329266  0.31255174],[-0.57828635 -0.04019408  0.27892274],[-0.73787308 -0.08533162  0.21089244],[-0.90614444 -0.15429074  0.069718  ],[-1.0111686  -0.14060052  0.08910348]
[-0.19999999  0.075       0.1525    ],[-0.20017369  0.07495213  0.33996642],[-0.36880267  0.02281753  0.30764875],[-0.57603008 -0.04125151  0.26799703],[-0.73120129 -0.092135    0.19405723],[-0.890221   -0.17548954  0.0499548 ],[-0.99611998 -0.15865263  0.05972207]
[-0.19999999  0.075       0.1525    ],[-0.19955279  0.07508871  0.34007955],[-0.36699063  0.02344793  0.30056304],[-0.57243198 -0.04002406  0.25193959],[-0.72906417 -0.09031108  0.18087849],[-0.89103401 -0.17400786  0.04062238],[-0.99627817 -0.1536984   0.05072286]
[-0.19999999  0.075       0.1525    ],[-0.20017463  0.07495184  0.33996648],[-0.36730593  0.02329121  0.30000573],[-0.57269466 -0.04019573  0.25096446],[-0.73032689 -0.09054793  0.18204203],[-0.89424127 -0.17272694  0.04283842],[-1.00025272 -0.16219975  0.05845967]
[-0.19999999  0.075       0.1525    ],[-0.19965145  0.07502328  0.34006181],[-0.36896831  0.02971303  0.30074373],[-0.57667851 -0.02603765  0.25241387],[-0.73400933 -0.07357687  0.18093869],[-0.89677012 -0.15978813  0.0430989 ],[-1.00167441 -0.13664547  0.0497777 ]
[-0.19999999  0.075       0.1525    ],[-0.20017634  0.0749604   0.33996654],[-0.36986321  0.03245365  0.29999065],[-0.57839102 -0.01978448  0.25093204],[-0.73793292 -0.06479235  0.18270761],[-0.90469503 -0.14786108  0.04747322],[-1.0089488  -0.12252095  0.05654439]
[-0.19999999  0.075       0.1525    ],[-0.19980694  0.07506204  0.34004471],[-0.37434715  0.05677841  0.30259562],[-0.58888263  0.03443865  0.25648087],[-0.75044167  0.00984727  0.18304075],[-0.92213148 -0.05470328  0.04410706],[-1.0221144  -0.014778    0.04768986]
[-0.19999999  0.075       0.1525    ],[-0.20017844  0.0749783   0.3399666 ],[-0.37422425  0.05102888  0.30345914],[-0.58810711  0.02159639  0.25866166],[-0.74917752 -0.00841441  0.1859293 ],[-0.91935933 -0.07875806  0.04776886],[-1.01995456 -0.04049195  0.0508659 ]
[-0.19999999  0.075       0.1525    ],[-0.20018588  0.07497497  0.33996513],[-0.37708962  0.04852498  0.32573223],[-0.5944804   0.01601959  0.30829951],[-0.75972325 -0.01738431  0.24736133],[-0.9379698  -0.09226788  0.12238178],[-1.03904319 -0.05655961  0.13250378]
[-0.19999999  0.075       0.1525    ],[-0.20019998  0.07497752  0.33996361],[-0.37782365  0.05133192  0.34932971],[-0.59609205  0.02227438  0.36088723],[-0.77167374 -0.00714557  0.33992222],[-0.9754464  -0.08021432  0.2615912 ],[-1.0702101  -0.03833322  0.2909016 ]
[-0.19999999  0.075       0.1525    ],[-0.20020269  0.07497558  0.33996359],[-0.37736815  0.04774599  0.34824723],[-0.59507495  0.01428521  0.35847449],[-0.77217984 -0.01328438  0.35600823],[-0.9836809  -0.08485948  0.29995653],[-1.07463861 -0.04235439  0.33885616]
[-0.19999999  0.075       0.1525    ],[-0.20019275  0.07498242  0.33996439],[-0.37644792  0.05247793  0.31494814],[-0.59304595  0.02482239  0.28426802],[-0.76724893  0.00261959  0.24831197],[-0.96637952 -0.06000191  0.15123209],[-1.06164241 -0.0155029   0.17443037]
[-0.19999999  0.075       0.1525    ],[-0.19922082  0.07517929  0.34014744],[-0.37190962  0.04483715  0.30099952],[-0.58390492  0.00775069  0.25265387],[-0.74549425 -0.02095938  0.18085124],[-0.91700804 -0.08883069  0.04345579],[-1.01807845 -0.0520428   0.04882486]
[-0.19999999  0.075       0.1525    ],[-0.19923018  0.07503502  0.34014633],[-0.37318298  0.04514724  0.30573639],[-0.58629918  0.00833176  0.26327965],[-0.74619502 -0.01814177  0.1867744 ],[-0.9144941  -0.08218354  0.04363945],[-1.01486754 -0.04354109  0.04614756]
[-0.19999999  0.075       0.1525    ],[-0.1995943   0.0751231   0.34007877],[-0.37187624  0.04761885  0.2979123 ],[-0.58358598  0.01396285  0.24594671],[-0.74580276 -0.01659128  0.17635827],[-0.91901821 -0.09409058  0.04629911],[-1.01813686 -0.05187497  0.04522659]
[-0.19999999  0.075       0.1525    ],[-0.20018005  0.07497478  0.33996639],[-0.36911085  0.04571957  0.28699306],[-0.57671022  0.00976807  0.22196907],[-0.74572688 -0.01921891  0.16977055],[-0.93364555 -0.1037844   0.06715833],[-1.02928734 -0.05438141  0.06484796]
[-0.19999999  0.075       0.1525    ],[-0.20018876  0.07496729  0.33996469],[-0.37061974  0.03675977  0.29882228],[-0.5800578  -0.01019124  0.24833232],[-0.75480533 -0.04285038  0.22539571],[-0.9555003  -0.13232438  0.15677308],[-1.05158675 -0.08590915  0.1711344 ]
[-0.19999999  0.075       0.1525    ],[-0.20018855  0.07496485  0.33996445],[-0.36920917  0.03454953  0.29525751],[-0.57691628 -0.01511452  0.24038798],[-0.75211346 -0.0512501   0.22905245],[-0.95587236 -0.13902774  0.16764286],[-1.04878247 -0.08850147  0.18784276]
[-0.19999999  0.075       0.1525    ],[-0.20018288  0.07496248  0.33996546],[-0.36566609  0.03258694  0.28501105],[-0.5690304  -0.01948771  0.21755241],[-0.74175096 -0.05931898  0.190918  ],[-0.93756473 -0.14975211  0.11046562],[-1.03275156 -0.10128864  0.12403171]
[-0.19999999  0.075       0.1525    ],[-0.20019035  0.07495861  0.33996412],[-0.37059867  0.03004593  0.30615735],[-0.5800091  -0.02514483  0.26467836],[-0.75359958 -0.06745007  0.25034934],[-0.95284176 -0.16361153  0.18671203],[-1.04825222 -0.11699223  0.20451254]
[-0.19999999  0.075       0.1525    ],[-0.20019384  0.07495383  0.33996361],[-0.37184405  0.02637946  0.32059368],[-0.58277655 -0.03331082  0.29684976],[-0.75582844 -0.07974526  0.29174215],[-0.9557156  -0.18112996  0.23919824],[-1.05108762 -0.13620478  0.26108971]
[-0.19999999  0.075       0.1525    ],[-0.20019282  0.07497711  0.33996427],[-0.37473404  0.0474504   0.30871856],[-0.58922291  0.01362375  0.27038613],[-0.76490438 -0.01266364  0.24639913],[-0.9682861  -0.09143523  0.17274147],[-1.06033289 -0.03690916  0.18489005]
[-0.19999999  0.075       0.1525    ],[-0.20017938  0.07497217  0.33996633],[-0.36404645  0.04307882  0.2741496 ],[-0.56542957  0.00388475  0.19334596],[-0.73822033 -0.0292757   0.15911591],[-0.93386304 -0.1058982   0.06505305],[-1.03011894 -0.06199634  0.08506636]
[-0.19999999  0.075       0.1525    ],[-0.20017214  0.07495139  0.33996701],[-0.35729879  0.02434553  0.26959622],[-0.55040014 -0.03784589  0.183198  ],[-0.71702385 -0.09165995  0.1448787 ],[-0.89965594 -0.19106409  0.04609083],[-1.00129199 -0.16085945  0.0648239 ]
[-0.19999999  0.075       0.1525    ],[-0.19979067  0.07504144  0.34003517],[-0.35222471  0.00812681  0.27265555],[-0.53926539 -0.07409289  0.18987057],[-0.69884551 -0.14336717  0.14659058],[-0.86828852 -0.25962082  0.04295905],[-0.97206366 -0.23397888  0.05551213]
[-0.19999999  0.075       0.1525    ],[-0.20016959  0.07494086  0.33996674],[-0.35529     0.0141224   0.27333301],[-0.54592466 -0.06061977  0.19152543],[-0.7089414  -0.12392294  0.15220352],[-0.88344568 -0.24182734  0.05924971],[-0.98500001 -0.20626013  0.06312387]
[-0.19999999  0.075       0.1525    ],[-0.20018049  0.07493865  0.33996472],[-0.36215115  0.01163393  0.29571962],[-0.56119561 -0.06615918  0.24141769],[-0.72876573 -0.12653081  0.22131501],[-0.91291416 -0.25047892  0.16033447],[-1.01258337 -0.20974833  0.16098899]
[-0.19999999  0.075       0.1525    ],[-0.20018356  0.07493368  0.33996412],[-0.36327291  0.00765963  0.30717409],[-0.56368774 -0.07501036  0.26694486],[-0.73077357 -0.13890247  0.25558347],[-0.91502869 -0.26737076  0.20519662],[-1.01724458 -0.2372328   0.22058594]
[-0.19999999  0.075       0.1525    ],[-0.20017561  0.07493728  0.33996549],[-0.35988897  0.01109126  0.28882569],[-0.55616188 -0.06736889  0.22605374],[-0.72027892 -0.12967834  0.18982376],[-0.8961522  -0.25931913  0.11734223],[-0.99903196 -0.22779283  0.11344421]
[-0.19999999  0.075       0.1525    ],[-0.19941148  0.07532796  0.34010443],[-0.35032958  0.00554045  0.27211595],[-0.53568166 -0.07995732  0.18840244],[-0.69523889 -0.14843702  0.143959  ],[-0.86221027 -0.28532571  0.06398641],[-0.96252733 -0.25113714  0.04511189]
[-0.19999999  0.075       0.1525    ],[-0.19968449  0.07511369  0.34005001],[-0.34942266  0.00786447  0.2671839 ],[-0.5332166  -0.07469814  0.17760983],[-0.69566262 -0.14011505  0.13933478],[-0.86844474 -0.2670694   0.05563579],[-0.96720207 -0.22537237  0.04548008]
[-0.19999999  0.075       0.1525    ],[-0.20016733  0.07494186  0.33996713],[-0.35037217  0.01101792  0.26543877],[-0.53496498 -0.06753797  0.17393249],[-0.70079362 -0.12659134  0.14014271],[-0.88096666 -0.2422583   0.05557904],[-0.97534454 -0.19069751  0.05032714]
[-0.19999999  0.075       0.1525    ],[-0.20017649  0.07493725  0.33996519],[-0.35758942  0.00844284  0.28518987],[-0.55103493 -0.07326952  0.21795127],[-0.71837777 -0.135361    0.20154604],[-0.90441883 -0.25369561  0.13537352],[-1.00036442 -0.20529638  0.14209516]
[-0.19999999  0.075       0.1525    ],[-0.20017318  0.07490744  0.33996382],[-0.35015523 -0.01791664  0.3069686 ],[-0.53446198 -0.13198131  0.26648635],[-0.69204807 -0.21727659  0.27092248],[-0.86307353 -0.36705264  0.23473331],[-0.96459186 -0.33223653  0.24340287]
[-0.19999999  0.075       0.1525    ],[-0.20016272  0.07490074  0.33996475],[-0.34637398 -0.02294816  0.30465591],[-0.52604902 -0.14319116  0.26133236],[-0.67345607 -0.24032357  0.23022421],[-0.8212831  -0.39792767  0.15082993],[-0.92537779 -0.37117648  0.14434022]
[-0.19999999  0.075       0.1525    ],[-0.20016876  0.07492431  0.33996588],[-0.35629439 -0.00150633  0.29544407],[-0.54815626 -0.09543151  0.2408019 ],[-0.70267713 -0.17224152  0.19226694],[-0.86051053 -0.30657697  0.0920788 ],[-0.96285945 -0.2742635   0.08348197]
[-0.19999999  0.075       0.1525    ],[-0.20018765  0.07495058  0.33996424],[-0.37056172  0.02348626  0.31711298],[-0.57992715 -0.03975622  0.28909308],[-0.74898022 -0.09223039  0.26081511],[-0.93707496 -0.19518337  0.17704692],[-1.03273916 -0.14676026  0.18688622]
[-0.19999999  0.075       0.1525    ],[-0.20018721  0.07495532  0.33996442],[-0.37143624  0.02706775  0.31590885],[-0.58188015 -0.0317797   0.28640833],[-0.750709   -0.07998335  0.2502721 ],[-0.93867469 -0.16761407  0.15033394],[-1.03413129 -0.12159041  0.16938835]
[-0.19999999  0.075       0.1525    ],[-0.20017698  0.07493073  0.33996484],[-0.36185017  0.00325173  0.30959842],[-0.56053168 -0.08483371  0.2723442 ],[-0.72002721 -0.15439403  0.22928019],[-0.89357698 -0.25585639  0.11709864],[-0.99482232 -0.23006663  0.14312658]
[-0.19999999  0.075       0.1525    ],[-0.20017271  0.07490282  0.33996373],[-0.35202497 -0.02045146  0.33319831],[-0.53863317 -0.13762885  0.32493734],[-0.68982422 -0.23039454  0.29908559],[-0.85710609 -0.35843372  0.20622757],[-0.9578191  -0.34484351  0.24179965]
[-0.19999999  0.075       0.1525    ],[-0.20016338  0.07487144  0.33996388],[-0.33621278 -0.04085541  0.3571707 ],[-0.50339347 -0.18306281  0.37835824],[-0.63839996 -0.29860324  0.40187418],[-0.79573256 -0.46365714  0.37022758],[-0.88594353 -0.46789354  0.42885554]
[-0.19999999  0.075       0.1525    ],[-0.20015946  0.07486804  0.33996463],[-0.3350625  -0.04254187  0.35464412],[-0.50083226 -0.18681675  0.37272704],[-0.62912732 -0.3034046   0.41827783],[-0.78583509 -0.47198954  0.41400206],[-0.86370933 -0.48305011  0.48752984]
[-0.19999999  0.075       0.1525    ],[-0.19999999  0.075       0.33999997],[-0.20000005  0.075       0.51950002],[-0.20000005  0.075       0.74000001],[-0.20000006  0.07500001  0.91924995],[-0.20000006  0.00975009  1.13999987],[-0.20000006  0.07500004  1.22565007]
[-0.19999999  0.075       0.1525    ],[-0.20000014  0.0750002   0.33999881],[-0.20000434  0.07500021  0.51949769],[-0.20000958  0.07500012  0.7399978 ],[-0.20001613  0.07499966  0.91924655],[-0.2000242   0.00974932  1.1399951 ],[-0.20002747  0.07499911  1.2256453 ]
[-0.19999999  0.075       0.1525    ],[-0.20000845  0.07500014  0.33999872],[-0.21328317  0.07398654  0.51900327],[-0.2295911   0.07274161  0.73889637],[-0.22962604  0.07181678  0.91814274],[-0.23431507  0.0055943   1.13855135],[-0.2234489   0.06979223  1.22430706]
[-0.19999999  0.075       0.1525    ],[-0.19999808  0.07499619  0.3399986 ],[-0.21601738  0.07345492  0.51877415],[-0.23569527  0.07156119  0.73838729],[-0.20900135  0.06452154  0.9154976 ],[-0.2000394  -0.00484654  1.1348052 ],[-0.14637041  0.04569349  1.21328497]
[-0.19999999  0.075       0.1525    ],[-0.19996393  0.07499142  0.33999765],[-0.19407211  0.07543433  0.51939666],[-0.18683007  0.07597697  0.73977804],[-0.13674822  0.06309332  0.91140634],[-0.11656166 -0.00241981  1.13115096],[-0.03795251  0.0288683   1.19774795]
[-0.19999999  0.075       0.1525    ],[-0.19994701  0.07499504  0.33999693],[-0.17599766  0.0775326   0.51786906],[-0.14657223  0.08064911  0.73637486],[-0.08460039  0.06613419  0.90394527],[-0.05522476  0.00506333  1.12393224],[0.03181531 0.02767281 1.18314826]
[-0.19999999  0.075       0.1525    ],[-0.19992688  0.07498127  0.33999494],[-0.17252742  0.0778321   0.51735955],[-0.13886215  0.08133178  0.73524719],[-0.05492431  0.04530591  0.88948089],[ 0.0021949  -0.04253772  1.09443808],[ 0.10266918 -0.03825872  1.13291204]
[-0.19999999  0.075       0.1525    ],[-0.19994748  0.07497221  0.33999598],[-0.18544205  0.07714249  0.51888764],[-0.16761753  0.07980512  0.73865169],[-0.09765457  0.03466435  0.89739257],[-0.06292024 -0.05930883  1.10463572],[ 0.03842754 -0.07404658  1.13787806]
[-0.19999999  0.075       0.1525    ],[-0.19996147  0.07497229  0.33999687],[-0.19513279  0.07575053  0.51942325],[-0.18919648  0.07670347  0.73984408],[-0.13055271  0.03222124  0.90328521],[-0.11158063 -0.05912741  1.11371994],[-0.01035581 -0.08321391  1.14141428]
[-0.19999999  0.075       0.1525    ],[-0.19999358  0.07496317  0.33999738],[-0.22372653  0.0705328   0.51786   ],[-0.25287944  0.06508556  0.73636144],[-0.21843159  0.0155872   0.9051618 ],[-0.22347426 -0.09002706  1.10963655],[-0.12597798 -0.10169888  1.15381622]
[-0.19999999  0.075       0.1525    ],[-0.20001192  0.07496718  0.33999765],[-0.22633815  0.0744303   0.51754987],[-0.25867873  0.07376683  0.73566949],[-0.23917341  0.02063864  0.90574855],[-0.26999971 -0.0798485   1.11054432],[-0.17803164 -0.10866995  1.15855229]
[-0.19999999  0.075       0.1525    ],[-0.19997594  0.07496042  0.33999678],[-0.19705592  0.07451978  0.51946509],[-0.19346564  0.07397377  0.7399385 ],[-0.15346637  0.01273906  0.90358758],[-0.16645898 -0.08016901  1.11379349],[-0.07858254 -0.13645099  1.14032018]
[-0.19999999  0.075       0.1525    ],[-0.19995293  0.07496603  0.3399964 ],[-0.16919595  0.07044636  0.51677662],[-0.13140881  0.06489025  0.73394388],[-0.08555526  0.01812966  0.90080333],[-0.09214166 -0.04336363  1.12252617],[-0.01311886 -0.11066954  1.15114403]
[-0.19999999  0.075       0.1525    ],[-0.1999159   0.07498829  0.33999443],[-0.13986611  0.07547662  0.50914091],[-0.06609231  0.076075    0.71692866],[0.00249475 0.05962654 0.88172239],[0.02736382 0.02739052 1.10827589],[ 0.11908664 -0.02270414  1.13418353]
[-0.19999999  0.075       0.1525    ],[-0.19988027  0.0750009   0.33999011],[-0.11129437  0.08001389  0.49600816],[-0.00246239  0.08617168  0.68767244],[0.09325634 0.07838011 0.8390311 ],[0.1570968  0.05417791 1.05885267],[0.2550258  0.01112245 1.07109904]
[-0.19999999  0.075       0.1525    ],[-0.19986893  0.07499932  0.33998838],[-0.10515618  0.08243298  0.49226239],[0.01120328 0.09156454 0.67932945],[0.11279128 0.08199734 0.82670927],[0.18426347 0.06432886 1.04479551],[0.27297705 0.00343718 1.04878509]
[-0.19999999  0.075       0.1525    ],[-0.19987506  0.07500411  0.33998913],[-0.10471469  0.08381137  0.49191162],[0.0121938  0.09463055 0.67854583],[0.11241424 0.08618059 0.82692671],[0.18193854 0.0785942  1.04622376],[0.26451233 0.01031252 1.05685544]
[-0.19999999  0.075       0.1525    ],[-0.19986224  0.07498579  0.33998704],[-0.09805214  0.0738561   0.48778981],[0.02702662 0.07246658 0.66936612],[0.13273647 0.05066743 0.81248415],[0.21109317 0.02945843 1.02787137],[ 0.28972644 -0.04385417  1.03386462]
[-0.19999999  0.075       0.1525    ],[-0.19986685  0.07499516  0.33998761],[-0.09798847  0.07850882  0.48770693],[0.027174   0.08282381 0.66918027],[0.13397506 0.0693716  0.81251627],[0.21328031 0.05384045 1.02804208],[ 0.29768559 -0.01277044  1.03375292]
[-0.19999999  0.075       0.1525    ],[-0.19985165  0.07498111  0.33998469],[-0.09162089  0.07833104  0.48311162],[0.04134711 0.0824433  0.65895092],[0.16010356 0.04313093 0.78734314],[ 0.25828266 -0.00680839  0.9894526 ],[ 0.34502703 -0.07046764  0.98535198]
[-0.19999999  0.075       0.1525    ],[-0.1998748   0.07496248  0.33998749],[-0.11135448  0.07562065  0.49611467],[-0.00260248  0.07642507  0.68792367],[0.10182539 0.00874981 0.81695026],[ 0.18092197 -0.07050233  1.01806009],[ 0.25556219 -0.14789675  1.01233459]
[-0.19999999  0.075       0.1525    ],[-0.1998767   0.07496055  0.33998719],[-0.10909565  0.07645574  0.49480447],[0.00243366 0.07828848 0.68500519],[0.10791337 0.00696601 0.81118071],[ 0.18845975 -0.07861295  1.00909746],[ 0.26266596 -0.15601687  0.9993028 ]
[-0.19999999  0.075       0.1525    ],[-0.19986862  0.07494155  0.33998501],[-0.10438749  0.06030513  0.49124539],[0.01291712 0.04231803 0.67707938],[ 0.11893944 -0.04178391  0.79463661],[ 0.20092671 -0.14584607  0.9828701 ],[ 0.2740697  -0.22302312  0.96590775]
[-0.19999999  0.075       0.1525    ],[-0.1998684  0.0749376  0.339984 ],[-0.10457062  0.05844904  0.49116802],[0.01250993 0.03818603 0.67691058],[ 0.12591201 -0.04809192  0.78567636],[ 0.21739352 -0.16352281  0.96256745],[ 0.29588521 -0.23259595  0.93683743]
[-0.19999999  0.075       0.1525    ],[-0.1998523   0.07495448  0.33998352],[-0.09845775  0.05969984  0.48728055],[0.02611487 0.04095392 0.66824561],[ 0.14854616 -0.01871274  0.78479522],[ 0.25201023 -0.11894003  0.96433049],[ 0.35403618 -0.15222333  0.95556134]
[-0.19999999  0.075       0.1525    ],[-0.19986378  0.07495544  0.33998546],[-0.1055049   0.05943199  0.49186245],[0.01042283 0.04035646 0.6784507 ],[ 0.12681083 -0.01872672  0.80131751],[ 0.2211763  -0.11886504  0.98584718],[ 0.32436156 -0.14960788  0.98458773]
[-0.19999999  0.075       0.1525    ],[-0.19985515  0.07497571  0.33998495],[-0.1048483   0.07571068  0.49224806],[0.0118764  0.07660986 0.67931181],[0.13683301 0.03320127 0.80028629],[ 0.24607828 -0.05312048  0.98358274],[ 0.35216653 -0.0712465   0.98029882]
[-0.19999999  0.075       0.1525    ],[-0.19985338  0.07500555  0.33998471],[-0.10345511  0.09244905  0.49036372],[0.01498076 0.11387668 0.67511356],[0.14999068 0.10068479 0.79229665],[0.2847639  0.03641765 0.96748579],[0.38934648 0.06101453 0.9746539 ]
[-0.19999999  0.075       0.1525    ],[-0.19982395  0.07502082  0.33997741],[-0.07838337  0.09996205  0.46973312],[0.0708242  0.13060284 0.62915903],[0.22972962 0.12980491 0.71212095],[0.40756428 0.0759427  0.84798193],[0.50721532 0.11478253 0.83553028]
[-0.19999999  0.075       0.1525    ],[-0.19981878  0.07502535  0.33997688],[-0.0711147   0.09950057  0.46262369],[0.087017   0.12956962 0.61331612],[0.23969477 0.1382412  0.70684701],[0.40986848 0.09624919 0.85605013],[0.50841922 0.13905425 0.84902436]
[-0.19999999  0.075       0.1525    ],[-0.19982243  0.07502947  0.33997709],[-0.06935748  0.10185597  0.46024907],[0.09093679 0.13481416 0.60802394],[0.24479625 0.14606164 0.69931996],[0.41326836 0.11386559 0.85282677],[0.51415437 0.14955918 0.84090829]
[-0.19999999  0.075       0.1525    ],[-0.19980125  0.07499911  0.33997074],[-0.04746804  0.08061136  0.43465477],[0.13970108 0.08750392 0.55100781],[0.30917633 0.0719475  0.60731578],[0.4976396  0.01819282 0.72803617],[0.5980671  0.02572721 0.68993586]
[-0.19999999  0.075       0.1525    ],[-0.19980167  0.07496495  0.33997008],[-0.04562716  0.05464957  0.42951852],[0.14380263 0.02968564 0.5395636 ],[ 0.30741078 -0.01851262  0.59473675],[ 0.48365128 -0.09934625  0.71877682],[ 0.58528537 -0.10969641  0.68475521]
[-0.19999999  0.075       0.1525    ],[-0.1998132   0.07493046  0.3399699 ],[-0.05066707  0.02884391  0.42847329],[ 0.13258374 -0.02778454  0.53723502],[ 0.2856538  -0.10592428  0.58821154],[ 0.4439539  -0.22746676  0.70288336],[ 0.54497182 -0.24614884  0.67062938]
[-0.19999999  0.075       0.1525    ],[-0.19980974  0.07492806  0.33996868],[-0.04843127  0.02579486  0.42286021],[ 0.13756472 -0.03457817  0.52473021],[ 0.29214424 -0.11383452  0.56898385],[ 0.45148757 -0.24671285  0.66865879],[ 0.55429488 -0.25585338  0.63798207]
[-0.19999999  0.075       0.1525    ],[-0.19981356  0.07492943  0.33996758],[-0.04541836  0.03090009  0.42011219],[ 0.14428601 -0.02320385  0.51861233],[ 0.2992422  -0.11194168  0.53443378],[ 0.46327204 -0.25999168  0.59893513],[ 0.56172216 -0.26810271  0.55608684]
[-0.19999999  0.075       0.1525    ],[-0.1998184   0.07492416  0.33996561],[-0.04142123  0.02922172  0.41081485],[ 0.1532037  -0.02694229  0.49790227],[ 0.30007684 -0.1276845   0.47749963],[ 0.45945337 -0.29243219  0.49852669],[ 0.54712939 -0.30392748  0.43708748]
[-0.19999999  0.075       0.1525    ],[-0.19982634  0.07492547  0.33996576],[-0.03969636  0.03197595  0.40860838],[ 0.1570572  -0.02080667  0.49298695],[ 0.29652253 -0.12672502  0.45466337],[ 0.44381744 -0.30342424  0.44633761],[ 0.5359726  -0.30688253  0.3907541 ]
[-0.19999999  0.075       0.1525    ],[-0.19982398  0.07492522  0.33996505],[-0.03682143  0.02974393  0.39984992],[ 0.16346428 -0.02578148  0.47347119],[ 0.30383757 -0.12899363  0.4312788 ],[ 0.44910529 -0.30633372  0.41039324],[ 0.54339576 -0.30559927  0.35840419]
[-0.19999999  0.075       0.1525    ],[-0.19981658  0.07493148  0.33996502],[-0.03463846  0.03248677  0.395753  ],[ 0.16832018 -0.01967416  0.46433997],[ 0.31987724 -0.11232649  0.44019932],[ 0.48101339 -0.27668059  0.44324827],[ 0.57317448 -0.27511927  0.3875896 ]
[-0.19999999  0.075       0.1525    ],[-0.1998229   0.07493183  0.33996445],[-0.02801073  0.027609    0.36089134],[ 0.18310654 -0.0305498   0.38665757],[ 0.32512581 -0.1230061   0.32818118],[ 0.48612964 -0.28475022  0.29814601],[ 0.55795336 -0.28708127  0.21795784]
[-0.19999999  0.075       0.1525    ],[-0.19982915  0.07493319  0.3399649 ],[-0.02630024  0.03093596  0.35216919],[ 0.18692708 -0.02313785  0.36722162],[ 0.32197341 -0.11795269  0.29715252],[ 0.4789589  -0.28110877  0.25567579],[ 0.54215533 -0.28622019  0.16864577]
[-0.19999999  0.075       0.1525    ],[-0.19982414  0.07493307  0.33996469],[-0.02997545  0.02831707  0.37424394],[ 0.17872849 -0.02897276  0.41641122],[ 0.32267818 -0.11805567  0.35742038],[ 0.48373678 -0.27867854  0.3221063 ],[ 0.54956818 -0.27861708  0.23689871]
[-0.19999999  0.075       0.1525    ],[-0.1998295   0.0749364   0.33996511],[-0.02878848  0.03079524  0.37148502],[ 0.18138084 -0.02345405  0.41026294],[ 0.31959397 -0.11188912  0.33805421],[ 0.47883782 -0.27083683  0.28943229],[ 0.52285278 -0.27463016  0.19123596]
[-0.19999999  0.075       0.1525    ],[-0.19983989  0.07492333  0.33996552],[-0.03108741  0.01776709  0.36124343],[ 0.17626964 -0.05247609  0.38744077],[ 0.29970896 -0.15269108  0.30463108],[ 0.44269669 -0.32346129  0.24651009],[ 0.47254655 -0.33465427  0.14366123]
[-0.19999999  0.075       0.1525    ],[-0.19984722  0.07491641  0.339966  ],[-0.03414278  0.00823344  0.35707408],[ 0.16946921 -0.07371657  0.3781487 ],[ 0.28360158 -0.17908582  0.28865498],[ 0.41957462 -0.35373884  0.22545996],[ 0.45101488 -0.36893234  0.12360264]
[-0.19999999  0.075       0.1525    ],[-0.19986744  0.07489441  0.33996665],[-0.04629999 -0.01768084  0.34662646],[ 0.14239742 -0.13144732  0.35486618],[ 0.22988142 -0.25240725  0.25560242],[ 0.33507365 -0.44376197  0.18277785],[ 0.35058197 -0.46591565  0.07855263]
[-0.19999999  0.075       0.1525    ],[-0.20053552  0.07555762  0.3401373 ],[-0.0482917  -0.0195673   0.34916857],[ 0.13858773 -0.13619319  0.35996023],[ 0.20283894 -0.25605142  0.24338439],[ 0.28059956 -0.44991192  0.14671256],[ 0.26971102 -0.46420836  0.0406814 ]
[-0.19999999  0.075       0.1525    ],[-0.19988371  0.07488942  0.33996719],[-0.04734111 -0.01871679  0.35290077],[ 0.14008909 -0.1337501   0.3688508 ],[ 0.19878852 -0.26953596  0.26758254],[ 0.26240584 -0.4777309   0.19279149],[ 0.25467107 -0.50028408  0.08778761]
[-0.19999999  0.075       0.1525    ],[-0.1998885   0.07488056  0.33996683],[-0.05022179 -0.02348198  0.35108978],[ 0.1336716  -0.14435942  0.36481777],[ 0.17986745 -0.29190859  0.2740787 ],[ 0.22048384 -0.51028383  0.21368197],[ 0.22854757 -0.54170561  0.11100831]
